id,left,top,right,bottom,row_index,col_index,LST20_mean,LST25_mean,dLST_mean,dNDBI_mean,SAVI20_mea,SAVI25_mea,dSAVI,DEM_mean
1580,940392.4194,1692199.8,940492.4194,1692099.8,39,10,7.374944297,2.343061272,-5.031882991,0.001528037,0.191592888,0.166056082,-0.025536806,27.828125
1581,940392.4194,1692099.8,940492.4194,1691999.8,40,10,8.172408197,3.610406241,-4.562001957,0.023269377,0.245617824,0.20682854,-0.038789284,27.46666667
1626,940392.4194,1687599.8,940492.4194,1687499.8,85,10,-1.885950804,-5.016703129,-3.130752504,0.004371601,0.072917016,0.117397934,0.044480918,15.90833333
1627,940392.4194,1687499.8,940492.4194,1687399.8,86,10,-1.297032014,-4.297068927,-3.00003694,0.000171507,0.094511413,0.161478419,0.066967006,16.2601626
1628,940392.4194,1687399.8,940492.4194,1687299.8,87,10,-0.693995884,-1.559533451,-0.865537575,-0.0482442,0.522221754,0.62709123,0.104869476,17.30769231
1629,940392.4194,1687299.8,940492.4194,1687199.8,88,10,1.102304894,0.385850456,-0.716454447,-0.047070028,0.493592071,0.563797905,0.070205834,17.53846154
1630,940392.4194,1687199.8,940492.4194,1687099.8,89,10,3.811809967,2.47519658,-1.336613405,-0.022374134,0.40576717,0.383584748,-0.022182422,17.696
1631,940392.4194,1687099.8,940492.4194,1686999.8,90,10,4.501117478,4.301155051,-0.199962373,-0.030981444,0.531325915,0.52533644,-0.005989476,17.05
1632,940392.4194,1686999.8,940492.4194,1686899.8,91,10,7.874679416,7.604932547,-0.269746946,0.006329267,0.17370524,0.115083089,-0.058622151,17.625
1633,940392.4194,1686899.8,940492.4194,1686799.8,92,10,9.107536793,8.927136898,-0.180400314,-0.016091863,0.140933063,0.095678215,-0.045254848,19.75
1718,940492.4194,1693799.8,940592.4194,1693699.8,23,11,1.654927901,-2.043432696,-3.698360579,0.105733904,0.702605122,0.406033124,-0.296571998,39.64615385
1719,940492.4194,1693699.8,940592.4194,1693599.8,24,11,1.55114916,-2.30213517,-3.853284339,0.222795116,0.697206749,0.198325509,-0.49888124,38.536
1720,940492.4194,1693599.8,940592.4194,1693499.8,25,11,1.199337244,-1.936679244,-3.136016428,0.250766698,0.703538714,0.141502463,-0.562036251,36.325
1721,940492.4194,1693499.8,940592.4194,1693399.8,26,11,3.26542501,3.547660877,-5.415197622,0.224494663,0.63290341,0.172068988,-0.460834421,35.9
1727,940492.4194,1692899.8,940592.4194,1692799.8,32,11,8.085182786,0.907820761,-7.177361846,-0.003383458,0.273948816,0.329072616,0.0551238,28.35
1728,940492.4194,1692799.8,940592.4194,1692699.8,33,11,6.316143721,2.154472344,-4.1616714,0.013875726,0.366904004,0.366273534,-0.00063047,26.28333333
1729,940492.4194,1692699.8,940592.4194,1692599.8,34,11,5.785312931,1.406733001,-4.378580054,-0.049345582,0.409607414,0.590973302,0.181365888,29.13846154
1730,940492.4194,1692599.8,940592.4194,1692499.8,35,11,5.696615696,1.447502409,-4.249113301,-0.055540583,0.41435136,0.52157947,0.10722811,28.52307692
1731,940492.4194,1692499.8,940592.4194,1692399.8,36,11,6.965309411,3.175762475,-3.789546862,-0.024336578,0.325147692,0.322271648,-0.002876045,27.82170543
1732,940492.4194,1692399.8,940592.4194,1692299.8,37,11,8.450056553,1.681124032,-6.768932184,0.021263653,0.311647097,0.336843866,0.025196769,26.81666667
1733,940492.4194,1692299.8,940592.4194,1692199.8,38,11,7.366116789,2.014613171,-5.351503584,0.003209379,0.266352705,0.271208949,0.004856243,28.21666667
1734,940492.4194,1692199.8,940592.4194,1692099.8,39,11,8.028065757,2.595201354,-5.43286439,0.002791528,0.397731881,0.396052653,-0.001679228,28.225
1735,940492.4194,1692099.8,940592.4194,1691999.8,40,11,8.214347267,3.301333523,-4.913013649,0.001252021,0.252860473,0.261329189,0.008468716,27.725
1782,940492.4194,1687399.8,940592.4194,1687299.8,87,11,0.616931044,-0.667311311,-1.284242332,-0.024778799,0.59262005,0.647988248,0.055368197,15.7
1783,940492.4194,1687299.8,940592.4194,1687199.8,88,11,1.998267463,0.708487119,-1.289780323,-0.053413862,0.525898882,0.591367929,0.065469047,17.725
1784,940492.4194,1687199.8,940592.4194,1687099.8,89,11,3.237528364,1.996151547,-1.241376782,0.025566057,0.61207437,0.539319636,-0.072754734,16.40833333
1785,940492.4194,1687099.8,940592.4194,1686999.8,90,11,4.153272808,3.871077895,-0.282194917,-0.022312196,0.531490982,0.512097603,-0.019393379,17.94166667
1786,940492.4194,1686999.8,940592.4194,1686899.8,91,11,6.783761382,6.68377611,-0.099985286,0.004702422,0.386562016,0.26354406,-0.123017955,18.70833333
1787,940492.4194,1686899.8,940592.4194,1686799.8,92,11,8.191995939,7.885874669,-0.306121055,-0.006638452,0.268422688,0.177116771,-0.091305917,19.29166667
1872,940592.4194,1693799.8,940692.4194,1693699.8,23,12,1.478353461,-2.285298268,-3.763651768,0.050329016,0.53718196,0.279429642,-0.257752318,45.075
