id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,SGIS_Maste,SGIS_Mas_1,SGIS_Mas_2,SGIS_Mas_3,JOIN_CD,JOIN_KEY
125,939375.915623063,1683699.90909134,939475.915623063,1683599.90909134,124,0,,,,,,,,,,,,,,
126,939375.915623063,1683599.90909134,939475.915623063,1683499.90909134,125,0,,,,,,,,,,,,,,
127,939375.915623063,1683499.90909134,939475.915623063,1683399.90909134,126,0,,,,,,,,,,,,,,
128,939375.915623063,1683399.90909134,939475.915623063,1683299.90909134,127,0,,,,,,,,,,,,,,
129,939375.915623063,1683299.90909134,939475.915623063,1683199.90909134,128,0,,,,,,,,,,,,,,
130,939375.915623063,1683199.90909134,939475.915623063,1683099.90909134,129,0,,,,,,,,,,,,,,
131,939375.915623063,1683099.90909134,939475.915623063,1682999.90909134,130,0,,,,,,,,,,,,,,
132,939375.915623063,1682999.90909134,939475.915623063,1682899.90909134,131,0,,,,,,,,,,,,,,
133,939375.915623063,1682899.90909134,939475.915623063,1682799.90909134,132,0,,,,,,,,,,,,,,
134,939375.915623063,1682799.90909134,939475.915623063,1682699.90909134,133,0,,,,,,,,,,,,,,
135,939375.915623063,1682699.90909134,939475.915623063,1682599.90909134,134,0,,,,,,,,,,,,,,
136,939375.915623063,1682599.90909134,939475.915623063,1682499.90909134,135,0,,,,,,,,,,,,,,
137,939375.915623063,1682499.90909134,939475.915623063,1682399.90909134,136,0,,,,,,,,,,,,,,
138,939375.915623063,1682399.90909134,939475.915623063,1682299.90909134,137,0,,,,,,,,,,,,,,
139,939375.915623063,1682299.90909134,939475.915623063,1682199.90909134,138,0,,,,,,,,,,,,,,
140,939375.915623063,1682199.90909134,939475.915623063,1682099.90909134,139,0,,,,,,,,,,,,,,
141,939375.915623063,1682099.90909134,939475.915623063,1681999.90909134,140,0,,,,,,,,,,,,,,
142,939375.915623063,1681999.90909134,939475.915623063,1681899.90909134,141,0,,,,,,,,,,,,,,
143,939375.915623063,1681899.90909134,939475.915623063,1681799.90909134,142,0,,,,,,,,,,,,,,
144,939375.915623063,1681799.90909134,939475.915623063,1681699.90909134,143,0,,,,,,,,,,,,,,
145,939375.915623063,1681699.90909134,939475.915623063,1681599.90909134,144,0,,,,,,,,,,,,,,
146,939375.915623063,1681599.90909134,939475.915623063,1681499.90909134,145,0,,,,,,,,,,,,,,
147,939375.915623063,1681499.90909134,939475.915623063,1681399.90909134,146,0,,,,,,,,,,,,,,
148,939375.915623063,1681399.90909134,939475.915623063,1681299.90909134,147,0,,,,,,,,,,,,,,
149,939375.915623063,1681299.90909134,939475.915623063,1681199.90909134,148,0,,,,,,,,,,,,,,
150,939375.915623063,1681199.90909134,939475.915623063,1681099.90909134,149,0,,,,,,,,,,,,,,
151,939375.915623063,1681099.90909134,939475.915623063,1680999.90909134,150,0,,,,,,,,,,,,,,
152,939375.915623063,1680999.90909134,939475.915623063,1680899.90909134,151,0,,,,,,,,,,,,,,
153,939375.915623063,1680899.90909134,939475.915623063,1680799.90909134,152,0,,,,,,,,,,,,,,
154,939375.915623063,1680799.90909134,939475.915623063,1680699.90909134,153,0,,,,,,,,,,,,,,
155,939475.915623063,1696099.90909134,939575.915623063,1695999.90909134,0,1,,,,,,,,,,,,,,
156,939475.915623063,1695999.90909134,939575.915623063,1695899.90909134,1,1,,,,,,,,,,,,,,
157,939475.915623063,1695899.90909134,939575.915623063,1695799.90909134,2,1,,,,,,,,,,,,,,
158,939475.915623063,1695799.90909134,939575.915623063,1695699.90909134,3,1,,,,,,,,,,,,,,
159,939475.915623063,1695699.90909134,939575.915623063,1695599.90909134,4,1,,,,,,,,,,,,,,
160,939475.915623063,1695599.90909134,939575.915623063,1695499.90909134,5,1,,,,,,,,,,,,,,
161,939475.915623063,1695499.90909134,939575.915623063,1695399.90909134,6,1,,,,,,,,,,,,,,
162,939475.915623063,1695399.90909134,939575.915623063,1695299.90909134,7,1,,,,,,,,,,,,,,
163,939475.915623063,1695299.90909134,939575.915623063,1695199.90909134,8,1,,,,,,,,,,,,,,
164,939475.915623063,1695199.90909134,939575.915623063,1695099.90909134,9,1,,,,,,,,,,,,,,
165,939475.915623063,1695099.90909134,939575.915623063,1694999.90909134,10,1,,,,,,,,,,,,,,
166,939475.915623063,1694999.90909134,939575.915623063,1694899.90909134,11,1,,,,,,,,,,,,,,
167,939475.915623063,1694899.90909134,939575.915623063,1694799.90909134,12,1,,,,,,,,,,,,,,
168,939475.915623063,1694799.90909134,939575.915623063,1694699.90909134,13,1,,,,,,,,,,,,,,
169,939475.915623063,1694699.90909134,939575.915623063,1694599.90909134,14,1,,,,,,,,,,,,,,
170,939475.915623063,1694599.90909134,939575.915623063,1694499.90909134,15,1,,,,,,,,,,,,,,
171,939475.915623063,1694499.90909134,939575.915623063,1694399.90909134,16,1,,,,,,,,,,,,,,
172,939475.915623063,1694399.90909134,939575.915623063,1694299.90909134,17,1,,,,,,,,,,,,,,
173,939475.915623063,1694299.90909134,939575.915623063,1694199.90909134,18,1,,,,,,,,,,,,,,
174,939475.915623063,1694199.90909134,939575.915623063,1694099.90909134,19,1,,,,,,,,,,,,,,
175,939475.915623063,1694099.90909134,939575.915623063,1693999.90909134,20,1,,,,,,,,,,,,,,
176,939475.915623063,1693999.90909134,939575.915623063,1693899.90909134,21,1,,,,,,,,,,,,,,
177,939475.915623063,1693899.90909134,939575.915623063,1693799.90909134,22,1,,,,,,,,,,,,,,
178,939475.915623063,1693799.90909134,939575.915623063,1693699.90909134,23,1,,,,,,,,,,,,,,
179,939475.915623063,1693699.90909134,939575.915623063,1693599.90909134,24,1,,,,,,,,,,,,,,
180,939475.915623063,1693599.90909134,939575.915623063,1693499.90909134,25,1,,,,,,,,,,,,,,
181,939475.915623063,1693499.90909134,939575.915623063,1693399.90909134,26,1,,,,,,,,,,,,,,
182,939475.915623063,1693399.90909134,939575.915623063,1693299.90909134,27,1,,,,,,,,,,,,,,
183,939475.915623063,1693299.90909134,939575.915623063,1693199.90909134,28,1,,,,,,,,,,,,,,
184,939475.915623063,1693199.90909134,939575.915623063,1693099.90909134,29,1,,,,,,,,,,,,,,
185,939475.915623063,1693099.90909134,939575.915623063,1692999.90909134,30,1,,,,,,,,,,,,,,
186,939475.915623063,1692999.90909134,939575.915623063,1692899.90909134,31,1,3.21630811691284,-0.273396454751492,-3.48970460891724,0.0316915288567543,33.3035764694214,"20250630","24040810","24040810020002","24040810020002","0.0","0.8","24040810020002","24040810020002","24040810020002"
187,939475.915623063,1692899.90909134,939575.915623063,1692799.90909134,32,1,3.93347195784251,0.396924817877637,-3.53654722372691,0.0143550412418942,33.9738982518514,"20250630","24040810","24040810020002","24040810020002","0.0","0.8","24040810020002","24040810020002","24040810020002"
188,939475.915623063,1692799.90909134,939575.915623063,1692699.90909134,33,1,1.32548565665881,-1.1223531961441,-2.44783887763818,-0.0005999356508255,32.4546203613281,"20250630","24040810","24040810020002","24040810020002","0.0","0.8","24040810020002","24040810020002","24040810020002"
189,939475.915623063,1692699.90909134,939575.915623063,1692599.90909134,34,1,-0.482970017939806,-1.85348844528198,-1.37051838636398,0.0042075589299202,31.7234840393066,"20250630","24040810","24040810020002","24040810020002","0.0","0.8","24040810020002","24040810020002","24040810020002"
190,939475.915623063,1692599.90909134,939575.915623063,1692499.90909134,35,1,,,,,,,,,,,,,,
191,939475.915623063,1692499.90909134,939575.915623063,1692399.90909134,36,1,,,,,,,,,,,,,,
192,939475.915623063,1692399.90909134,939575.915623063,1692299.90909134,37,1,,,,,,,,,,,,,,
193,939475.915623063,1692299.90909134,939575.915623063,1692199.90909134,38,1,,,,,,,,,,,,,,
194,939475.915623063,1692199.90909134,939575.915623063,1692099.90909134,39,1,,,,,,,,,,,,,,
195,939475.915623063,1692099.90909134,939575.915623063,1691999.90909134,40,1,,,,,,,,,,,,,,
196,939475.915623063,1691999.90909134,939575.915623063,1691899.90909134,41,1,,,,,,,,,,,,,,
197,939475.915623063,1691899.90909134,939575.915623063,1691799.90909134,42,1,,,,,,,,,,,,,,
198,939475.915623063,1691799.90909134,939575.915623063,1691699.90909134,43,1,,,,,,,,,,,,,,
199,939475.915623063,1691699.90909134,939575.915623063,1691599.90909134,44,1,,,,,,,,,,,,,,
200,939475.915623063,1691599.90909134,939575.915623063,1691499.90909134,45,1,,,,,,,,,,,,,,
201,939475.915623063,1691499.90909134,939575.915623063,1691399.90909134,46,1,,,,,,,,,,,,,,
202,939475.915623063,1691399.90909134,939575.915623063,1691299.90909134,47,1,,,,,,,,,,,,,,
203,939475.915623063,1691299.90909134,939575.915623063,1691199.90909134,48,1,,,,,,,,,,,,,,
204,939475.915623063,1691199.90909134,939575.915623063,1691099.90909134,49,1,,,,,,,,,,,,,,
205,939475.915623063,1691099.90909134,939575.915623063,1690999.90909134,50,1,,,,,,,,,,,,,,
206,939475.915623063,1690999.90909134,939575.915623063,1690899.90909134,51,1,,,,,,,,,,,,,,
207,939475.915623063,1690899.90909134,939575.915623063,1690799.90909134,52,1,,,,,,,,,,,,,,
208,939475.915623063,1690799.90909134,939575.915623063,1690699.90909134,53,1,,,,,,,,,,,,,,
209,939475.915623063,1690699.90909134,939575.915623063,1690599.90909134,54,1,,,,,,,,,,,,,,
210,939475.915623063,1690599.90909134,939575.915623063,1690499.90909134,55,1,,,,,,,,,,,,,,
211,939475.915623063,1690499.90909134,939575.915623063,1690399.90909134,56,1,,,,,,,,,,,,,,
212,939475.915623063,1690399.90909134,939575.915623063,1690299.90909134,57,1,,,,,,,,,,,,,,
213,939475.915623063,1690299.90909134,939575.915623063,1690199.90909134,58,1,,,,,,,,,,,,,,
214,939475.915623063,1690199.90909134,939575.915623063,1690099.90909134,59,1,,,,,,,,,,,,,,
215,939475.915623063,1690099.90909134,939575.915623063,1689999.90909134,60,1,,,,,,,,,,,,,,
216,939475.915623063,1689999.90909134,939575.915623063,1689899.90909134,61,1,,,,,,,,,,,,,,
217,939475.915623063,1689899.90909134,939575.915623063,1689799.90909134,62,1,,,,,,,,,,,,,,
218,939475.915623063,1689799.90909134,939575.915623063,1689699.90909134,63,1,,,,,,,,,,,,,,
219,939475.915623063,1689699.90909134,939575.915623063,1689599.90909134,64,1,,,,,,,,,,,,,,
220,939475.915623063,1689599.90909134,939575.915623063,1689499.90909134,65,1,,,,,,,,,,,,,,
221,939475.915623063,1689499.90909134,939575.915623063,1689399.90909134,66,1,,,,,,,,,,,,,,
222,939475.915623063,1689399.90909134,939575.915623063,1689299.90909134,67,1,,,,,,,,,,,,,,
223,939475.915623063,1689299.90909134,939575.915623063,1689199.90909134,68,1,,,,,,,,,,,,,,
